nohup: ignoring input
Socket server listening on 3000
socket connected: k5fYOPq876aF43wuAAAB
socket connected: L5buEGw-78wpOANUAAAD
socket connected: I5HtYKH01WZsAyKUAAAF
socket connected: furM5mSJXlwksp4pAAAH
socket connected: M5A-f6dV2eBuMiHzAAAJ
socket connected: D3ZBGQnadcyuZS0yAAAL
socket connected: edHUbFW0eIVp6_aIAAAN
socket connected: XAms7Xr5cGBGcuVtAAAP
socket connected: rqA2CrquVSkg6tRbAAAR
socket connected: nDpSq34LEujWrRsVAAAT
socket connected: op_FQy_vNsZWSdyJAAAV
socket connected: 18dixjIcfKaAvp6kAAAX
socket connected: qsBqIVyBn0M-zoMCAAAZ
socket connected: BIQQib1x3tzHU_n1AAAb
socket connected: MAEX71LdPJlIppd4AAAd
socket connected: gzbSQI6pV4gcH9Z-AAAf
socket connected: j9wKwgznC_dQqbuSAAAh
socket connected: J5S4-z3p3nn9WgquAAAj
